"","ID","Title","Premium","Period.Of.Rebalancing","Number.Of.Instruments","Markets.Traded","Instruments.Available","Complexity","Backtest.Period.Source","Backtest.Length","Indicative.Performance","Volatility","Maximum.Drawdown","Confidence.In.Anomaly","Keywords","Sharpe.Ratio","Fundamental reason","Hedge for stocks during bear markets","Introduction","Simple trading strategy","Source Paper"
"272",272,"Overnight Stock Trading","Yes","Daily","900*","equities","stocks","Complex strategy","1995-2014",20,"21.28%*","6.60%*",NA,"Strong","equity long short, seasonality, market timing",2.62,NA,NA,NA,NA,NA
"273",273,"Overreaction to Merger and Acquisition Announcements","Yes","Daily","33*","equities","stocks","Complex strategy","1980-2012",33,"15.83%*",NA,NA,"Strong","equity long short, arbitrage",0,NA,NA,NA,NA,NA
"274",274,"Post-Earnings Announcement Drift Based on Price Signal Alone","Yes","Daily","19*","equities","stocks","Complex strategy","2003-2015",13,"5.64%*","4.03%*","-7.79%*","Moderately Strong","equity long short, earnings announcement, stock picking",1.4,NA,NA,NA,NA,NA
"275",275,"Post-Earnings Announcement Drift for Friday Evening Announcers","Yes","Daily","100*","equities","stocks","Complex strategy","1999-2013",15,"20.84%*",NA,NA,"Strong","equity long short, earnings announcement, stock picking",0,NA,NA,NA,NA,NA
"276",276,"Shorting Stocks During the Last Hour of Month","Yes","Intraday","1","equities","ETFs, CFDs, futures","Simple strategy","2002-2015",14,"2.40%*",NA,NA,"Strong","market timing, short selling",0,NA,NA,NA,NA,NA
"277",277,"Sequenced Insider Trading","Yes","Monthly","17*","equities","stocks","Complex strategy","1986-2011",26,"29.69%*","34.12%*",NA,"Strong","equity long short, insiders effect, stock picking",0.75,NA,NA,NA,NA,NA
"278",278,"Trading Commodity ETFs versus Equity ETFs","Yes","Daily","2","equities, commodities","ETFs","Complex strategy","2004-2011",8,"31.10%*",NA,NA,"Moderately strong","arbitrage, sentiment",0,NA,NA,NA,NA,NA
"279",279,"Long-Term Reversal Combined with a Momentum Effect in Industry Portfolios","Yes","Quarterly","8","equities","ETFs","Simple strategy","1963-2013",51,"9.90%*","19.49%*",NA,"Strong","reversal, equity long short, sector picking",0.3,NA,NA,NA,NA,NA
"280",280,"Trading the VIX Futures Roll and Volatility Premiums with VIX Options","Yes","Daily","1","equities","options","Complex strategy","2007-2014",8,"22.50%*","*",NA,"Moderately strong","volatility effect, volatility premium",0,NA,NA,NA,NA,NA
"281",281,"Skewness Effect in Commodities","Yes","Monthly","10","commodities","futures, CFDs","Simple strategy","1987-2014",28,"8.01%*","10.20%*","-29.73%*","Strong","volatility effect",0.79,NA,NA,NA,NA,NA
"282",282,"Trading based on Higher Moments in Currency Markets","Yes","Monthly","8","currencies","futures, CFDs, swaps","Complex strategy","1989-2014",26,"11.07%*","8.00%*",NA,"Strong","FX anomaly, forex system",1.38,NA,NA,NA,NA,NA
"283",283,"Market Neutral Strategy Based on Share Buybacks","Yes","Daily","90*","equities","stocks, ETFs","Complex strategy","1998-2014",17,"9.66%*","7.21%*",NA,"Strong","equity long short, stock picking",1.34,NA,NA,NA,NA,NA
"284",284,"Timing the Small Cap Effect ver. 2","Yes","Monthly","1","equities","ETFs","Simple strategy","2000-2014",15,"9.00%*","12.33%*",NA,"Strong","equity long short, small cap, market timing",0.73,NA,NA,NA,NA,NA
"285",285,"Spread (Basis) Momentum within Commodities","Yes","Monthly","8","commodities","futures, CFDs","Simple strategy","1960-2014",55,"18.38%*","19.98%*",NA,"Strong","momentum, spread trading",0.92,NA,NA,NA,NA,NA
"286",286,"Spread (Basis) Momentum within Currencies","Yes","Monthly","8","currencies","futures, CFDs, swaps","Simple strategy","1998-2015",18,"8.40%*","9.23%*",NA,"Strong","forex system, FX anomaly, momentum, spread trading",0.91,NA,NA,NA,NA,NA
"287",287,"The FOMC Cycle Effect","Yes","Weekly","1","equities","ETFs, CFDs, futures","Simple strategy","1994-2013",20,"11.58%*","13.92%*",NA,"Moderately strong","market timing, seasonality",0.83,NA,NA,NA,NA,NA
"288",288,"Combining Momentum, Term Structure, and Idiosyncratic Volatility within Commodities","Yes","Monthly","12","commodities","futures, CFDs","Simple strategy","1985-2011",27,"7.38%*","10.79%*","-23.57%*","Strong","momentum, term spread, volatility effect",0.68,NA,NA,NA,NA,NA
"289",289,"Google Search Strategy Based on Limited Investor Attention","Yes","Weekly","188","equities","stocks","Simple strategy","2004-2014",11,"19.30%*","21.40%*",NA,"Strong","stock picking",0.71,NA,NA,NA,NA,NA
"290",290,"Consistent Momentum Strategy","No","6 Months","1000*","equities","stocks","Complex strategy*","1980-2011",32,"16.08%*","25.33%*",NA,"Strong*","stock picking, momentum, momentum in stocks, equity long short",0.48,"Momentum anomaly is, in general, related to investors' irrationality - they underreact to new information as they do not incorporate news in their transaction prices sufficiently. In accordance with the information asymmetry and the heterogenous beliefs hypotheses,the persistence of momentum effect depends on size, idiosyncratic volatility, % of institutional ownership, and trading volume. According to the former, investors tend to be conservative in the case of stocks with higher idiosyncratic volatilities and lower percentage of outstanding stocks owned by institutional investors (they become consistent winners/losers due to slow price adjustment). The latter suggests that higher trading volume on stock (proxy for disagreement among investors) should produce stronger momentum effect.","Not known - Source and related research papers don't offer insight into correlation structure of proposed trading strategy to equity market risk, therefore we do not know if this strategy can be used as a hedge/diversification during time of market crisis. Strategy is built as a long-short, but it can be split into 2 parts. Long leg of strategy is surely strongly correlated to equity market however short-only leg can be maybe used as a hedge during bad times. Rigorous backtest is however needed to determine return/risk characteristics and correlation.","The traditional momentum effect is one of the most well-known and best documented stock market anomalies. Also, some notable research about the persistency of momentum effect has already taken place at the portfolio level (for example Chen et al., 2014). However, recent research has taken the issue a bit further, focusing on the performance variation at the firm level rather than on more general portfolio level. Based on the ‚top decile long and bottom decile short‘ approach, the empirical evidence shows, inter alia, that only about 60% of the winner/loser stocks in the sample were consistent winners (losers) - in the top (bottom) decile both during the month of portfolio formation and in the following month - and that at least 1/4 of them even experienced a contrarian effect in the post-formation month. The authors of the recent academic research show that consistent winner stocks outperform inconsistent winner stocks, and conversely, consistent loser stocks underperform inconsistent loser stocks, in the post-formation period. With respect to this result, they suggested a strategy of buying consistent winners while selling consistent losers, which outperformed the traditional and 'inconsistent' momentum with 1.25% average monthly return (significantly positive even after adjusting for Fama-French‘s three factors and Carhart’s momentum factor, as opposed to the traditional and inconsistent momentum strategies with 1.06% and 0.47% average monthly returns, respectively).","The investment universe consists of stocks listed at NYSE, AMEX, and NASDAQ, whose price data (at least for past 7 months) are available at CRSP database. The investor creates a zero-investment portfolio at the end of the month t, longing stocks that are in the top decile in terms of returns both in the period from t-7 to t-1 and from t-6 to t, while shorting stocks in the bottom decile in both periods (i.e. longing consistent winners and shorting consistent losers). The stocks in the portfolio are weighted equally. The holding period is six months, with no rebalancing during the period.  There is a one-month skip between formation and holding period.","Chen, Chou, Hsieh: Persistency of the Momentum Effect: The Role of Consistent Winners and Losershttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=2652592Abstract:Momentum profits, resulting from buying winners and selling losers, are robust in the stock market; however, less than 60% of winner and loser stocks remain in winner and loser groups in the subsequent formation month. This study applies duration analysis to test the persistency of the momentum effect and demonstrates that consistent winners and losers experience higher subsequent momentum profits than inconsistent winners and losers. Consistent with the information asymmetry hypothesis and the heterogeneous beliefs hypothesis, the momentum persistency is associated with size, idiosyncratic risk, institutional ownership, and trading volume. In addition, an asymmetric effect is observed—the post-formation return contributes to the winner persistency more, while the formation period return can explain the loser persistency more. The duration analysis also demonstrates that the trading volume reflects effects of both heterogeneous beliefs among investors and the momentum life cycle. The consistent momentum strategy may offer enhanced performance, despite controlling for factors associated withmarket risk, size, book-to-market ratio, momentum effect, and liquidity risk."
"291",291,"Options Convexity Predicts Consecutive Stock Returns","Yes","Monthly","300*","equities","stocks","Complex strategy","2000-2013",14,"14.44%*","9.99%*",NA,"Strong","equity long short, stock picking, volatility effect",1556668800,NA,NA,NA,NA,NA
"292",292,"Momentum Seasonality and Investor Preferences","Yes","Quarterly","1000*","equities","stocks","Simple strategy","1983-2012",30,"8.00%*",NA,NA,"Strong","momentum, seasonality, momentum in stocks, equity long short",0,NA,NA,NA,NA,NA
"293",293,"Momentum Effect in Anomalies v2","Yes","Monthly","1000*","equities","stocks","Very complex strategy","1976-2013",38,"16.52%*","12.76%*",NA,"Strong","equity long short, momentum, momentum in stocks, stock picking",0.98,NA,NA,NA,NA,NA
"294",294,"Seasonality Within Trend-Following Strategy in Commodities","Yes","Monthly","6","commodities","futures, CFDs","Moderately complex strategy","1992-2015",24,"7.52%*","9.32%*",NA,"Strong","seasonality, trendfollowing",0.38,NA,NA,NA,NA,NA
"295",295,"Seasonality Effect in Anomalies","Yes","Monthly","1000*","equities","stocks","Very complex strategy","1963-2011",49,"17.88%*","17.01%*",NA,"Strong","equity long short, seasonality, stock picking",0.82,NA,NA,NA,NA,NA
"296",296,"Management Diversity Strategy","Yes","Yearly","1000*","equities","stocks","Complex strategy","2002-2014",13,"8.47%*","9.81%*",NA,"Strong","equity long short, stock picking",0.46,NA,NA,NA,NA,NA
"297",297,"Combining Time-Series and Cross-Sectional Momentum","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1993-2014",22,"23.58%*","35.79%*",NA,"Strong*","equity long short, momentum, momentum in stocks, stock picking",0.55,NA,NA,NA,NA,NA
"298",298,"Combining Fundamental and Transitory Component of Value Strategy","Yes","Yearly","1000*","equities","stocks","Complex strategy*","1981-2014",34,"9.03%*","9.71%*",NA,"Strong*","equity long short, reversal, stock picking, value",0.52,NA,NA,NA,NA,NA
"299",299,"Absolute Momentum Effect in Stocks","Yes","Monthly","1000*","equities","stocks","Complex strategy*","2000-2014",15,"19.70%*","29.06%*",NA,"Strong*","momentum, momentum in stocks, equity long short",0.54,NA,NA,NA,NA,NA
"300",300,"Overnight Momentum Strategy","Yes","Intraday","1000*","equities","stocks","Very complex strategy","1993-2013",21,"50.58%*","11.52%*",NA,"Strong","equity long short, momentum, momentum in stocks, stock picking",1554336000,NA,NA,NA,NA,NA
"301",301,"Overnight-Intraday Daily Reversal in Commodities","Yes","Intraday","11","commodities","futures, CFDs","Complex strategy","2007-2014",8,"45.75%*","31.02%*",NA,"Strong","reversal",1.47,NA,NA,NA,NA,NA
"302",302,"Overnight-Intraday Weekly Reversal in Currency Futures","Yes","Weekly","9","currencies","futures, CFDs, swaps","Complex strategy","1982-2014",33,"9.18%*","10.23%*",NA,"Strong","reversal",0.9,NA,NA,NA,NA,NA
"303",303,"Overnight-Intraday Weekly Reversal in Interest Rate Futures","Yes","Weekly","11","bonds","futures, CFDs, swaps","Complex strategy","1982-2014",33,"6.83%*","7.69%*",NA,"Strong","reversal",0.89,NA,NA,NA,NA,NA
"304",304,"Seasonality in Treasury Auctions Strategy","Yes","Daily","3","bonds","bonds, futures, swaps, CFDs","Simple strategy","1998-2008",11,"5.74%*","6.83%*",NA,"Strong","bond timing, market timing, seasonality",0.84,NA,NA,NA,NA,NA
"305",305,"Multi-Asset Market Breadth Momentum","Yes","Monthly","7*","equities, commodities, bonds, REITs","ETFs","Simple strategy","1993-2015",23,"10.50%*","7.90%*","-8.80%*","Strong","asset class picking, momentum",0.82,NA,NA,NA,NA,NA
"306",306,"Trading VIX ETFs v2","Yes","Daily","2","equities","ETFs","Simple strategy","2006-2014",9,"69.00%*","39.00%*","-24.50%*","Strong","volatility effect, volatility premium, market timing",1.67,NA,NA,NA,NA,NA
"307",307,"Reversal During Earnings-Announcements","No","Daily","1000*","equities","stocks","Complex strategy","1996-2011",16,"63.52%*","12.29%*",NA,"Strong","earnings announcement, equity long short, reversal, stock picking, trading earnings",4.84,"In general, reversal in price of an asset occurs due to investors' overreaction to asset-related news and the subsequent price correction. In this case, the most probable reason for the phenomenon, according to the authors, is the market makers‘ aversion to inventory risks that tend to increase dramatically in the pre-announcement period. Consequently, the market makers demand higher compensation for providing liquidity due to higher risk and therefore raise prices, which are expected to reverse after the earnings announcement.","Not known - Source and related research papers don't offer insight into correlation structure of proposed trading strategy to equity market risk, therefore we do not know if this strategy can be used as a hedge/diversification during time of market crisis. Strategy is built as a long-short, but it can be split into 2 parts. Long leg of strategy is surely strongly correlated to equity market however short-only leg can be maybe used as a hedge during bad times. Rigorous backtest is however needed to determine return/risk characteristics and correlation.","Despite the fact that earnings announcements are anticipated events in most cases, multiple academic papers find the evidence that they still affect stock prices and therefore create a potentially profitable trading opportunities. For instance, one of the recent works shows that the short-term reversal is much stronger around the days of earnings announcement than in other, randomly chosen periods. More precisely, the LOW-HIGH (buying past losers and selling past winners) strategy yielded an average 3-day return (the window of t-1, t, and t+1, where t is the day of earnings announcement) of 1.45% during the 1996-2011 sample period, whereas the average return during random pseudo-announcement periods was only 0.22% (therefore more than a six-fold difference). The phenomenon, as suggested by the authors, is related to market makers‘ decisions regarding liquidity provision (see fundamental reason). The strategy further described is carried out on the subsample of big stocks due to better liquidity.","The investment universe consists of stocks listed at NYSE, AMEX, and NASDAQ, whose daily price data are available at CRSP database. Earnings-announcement dates are collected from Compustat. Firstly, the investor sorts stocks into quintiles based on firm size. Then he further sorts the stocks in the top quintile (the biggest) into quintiles based on their average returns in the 3-day window between t-4 and t-2, where t is the day of earnings announcement. The investor goes long on the bottom quintile (past losers) and short on the top quintile (past winners) and holds the stocks during the 3-day window between t-1, t, and t+1. Stocks in the portfolios are weighted equally.","So, Wang: News-Driven Return Reversals: Liquidity Provision Ahead of Earnings Announcementshttp://papers.ssrn.com/sol3/papers.cfm?abstract_id=2275982Abstract:This study documents a six-fold increase in short-term return reversals during earnings announcements relative to non-announcement periods. Following prior research, we use reversals as a proxy for expected returns market makers demand for providing liquidity. Our findings highlight significant time-series variation in the magnitude of short-term return reversals and suggest that market makers demand higher expected returns prior to earnings announcements because of increased inventory risks that stem from holding net positions through the release of anticipated earnings news. Collectively, our findings suggest that uncertainty regarding anticipated information events elicits predictable increases in expected returns to liquidity provision and that these increases significantly affect the dynamics and information content of market prices."
"308",308,"Short-Term Momentum in Currencies","Yes","Weekly","25","currencies","futures, forwards, swaps, CFDs","Simple strategy","2005-2011",7,"7.10%*","8.10%*",NA,"Moderately strong","momentum, FX anomaly, forex system",0.88,NA,NA,NA,NA,NA
"309",309,"Subsidiary - Parent Equity Momentum","Yes","Monthly","20*","equities","stocks","Complex strategy","1985-2010",26,"14.03%*","14.51%*",NA,"Strong","stock picking, equity long short, momentum, momentum in stocks",0.97,NA,NA,NA,NA,NA
"310",310,"Headquarter Location Momentum","Yes","Monthly","1000*","equities","stocks","Complex strategy","1971-2013",43,"5.06%*","8.99%*",NA,"Strong","stock picking, equity long short, momentum, momentum in stocks",0.56,NA,NA,NA,NA,NA
"311",311,"Currency Option Delta-Hedging Strategy","Yes","Intraday","3","currencies","options","Complex strategy","2011-2015",5,"31.48%*","10.00%*",NA,"Strong","FX anomaly, forex system, volatility premium",3.15,NA,NA,NA,NA,NA
"312",312,"Low-Price Effect","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1952-2014",63,"18.30%*","19.24%*",NA,"Strong*","equity long short, stock picking",0.74,NA,NA,NA,NA,NA
"313",313,"Nearness to 52-Week Low Strategy","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1962-2014",53,"7.67%*","11.55%*",NA,"Strong*","equity long short, stock picking",0.32,NA,NA,NA,NA,NA
"314",314,"Sector Rotation Strategy Based on Multivariate Regression Analysis","Yes","Monthly","9*","equities","ETFs","Complex strategy","2000-2015",16,"7.04%*","10.06%*","-28.90%*","Strong","rotational system, sector picking",0.3,NA,NA,NA,NA,NA
"315",315,"Stock Splits Strategy Based on Earnings Management","Yes","Yearly","1000*","equities","stocks","Complex strategy","1980-2011",32,"11.35%*",NA,NA,"Strong","accruals effect, equity long short, reversal, stock picking",0,NA,NA,NA,NA,NA
"316",316,"Combined Momentum and Counter Trend Strategy on US Equity Indexes","Yes","Daily","2","equities","ETFs, futures, CFDs","Simple strategy","1971-2008",38,"12.20%*",NA,"-11.50%*","Strong","reversal, trendfollowing, market timing",0,NA,NA,NA,NA,NA
"317",317,"Trading FOMC Announcements with Summary of Economic Projections","Yes","Intraday","1","equities","futures, ETFs, CFDs","Simple strategy","2012-2015",4,"10.50%*","5.00%*",NA,"Strong","market timing, seasonality",1569974400,NA,NA,NA,NA,NA
"318",318,"Option Trading Volume Predicts Equity Returns","Yes","Weekly","300*","equities","stocks","Complex strategy","1996-2014",19,"10.37%*","10.99%*",NA,"Strong","equity long short, volume effect",0.58,NA,NA,NA,NA,NA
"319",319,"Combined Stock and CDS Momentum","Yes","Yearly","430","equities","stocks","Complex strategy","2003-2014",12,"16.86%*","14.29%*",NA,"Strong","equity long short, momentum, momentum in stocks, reversal, stock picking",0.9,NA,NA,NA,NA,NA
"320",320,"Natural Gas Futures Trading Based on Informed Traders Forecasts","Yes","Intraday","1*","commodities","futures","Simple strategy","2008-2016",9,"8.40%*","10.00%*",NA,"Strong","market timing",0.84,NA,NA,NA,NA,NA
"321",321,"International Carry Investing on the Yield Curve","Yes","Monthly","60","bonds","futures, forwards, swaps","Complex strategy","1985-2014",30,"5.91%*",NA,NA,"Strong","carry trade",0,NA,NA,NA,NA,NA
"322",322,"Rank Effect for Commodities","Yes","Daily","30","commodities","futures, CFDs","Simple strategy","2010-2016",7,"23.20%*",NA,NA,"Moderately strong","rotational system, reversal",0,NA,NA,NA,NA,NA
"323",323,"Timing the Small Cap Effect ver. 3","Yes","Monthly","2*","equities","stocks, ETFs","Simple strategy","1990-2014",25,"11.94%*","14.96%*",NA,"Strong","equity long short, small cap, market timing",0.53,NA,NA,NA,NA,NA
"324",324,"Risk-Managed Industry Momentum","Yes","Monthly","8","equities","ETFs","Simple strategy","1927-2014",88,"25.64%*","32.15%*",NA,"Strong","momentum, rotational system, sector picking",0.67,NA,NA,NA,NA,NA
"325",325,"Abnormal Turnover Effect in the Stock Market","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1968-2015",48,"10.82%*","10.45%*",NA,"Strong*","equity long short, stock picking, volume effect",0.65,NA,NA,NA,NA,NA
"326",326,"Volatility Investing Across Asset Classes","Yes","Monthly","15","equities, bonds, currencies, commodities","swaps","Complex strategy","2005-2015",11,"19.90%*","18.90%*","-58.00%*","Strong","volatility premium, volatility effect",1556668800,NA,NA,NA,NA,NA
"327",327,"Investor Sentiment and Momentum Effect in Currencies","Yes","Monthly","24*","currencies","forwards, swaps, futures, CFDs","Moderately complex strategy","1976-2010",35,"5.80%*","10.36%*",NA,"Strong","FX anomaly, momentum, sentiment, forex system",0.56,NA,NA,NA,NA,NA
"328",328,"Spread Trading with ADRs","Yes","Daily","2*","equities","ETFs","Simple strategy","2005-2015",11,"14.00%*","16.35%*",NA,"Strong","pairs trading, spread trading",0.61,NA,NA,NA,NA,NA
"329",329,"Portfolio Hedging Using VIX Options","Yes","Monthly","3*","equities, bonds","ETFs, options","Moderately complex strategy","2008-2013",6,"8.63%*","8.44%*","-10.47%*","Moderately strong","market timing, volatility effect",1548979200,NA,NA,NA,NA,NA
"330",330,"Pre-Earnings Announcement Drift","Yes","Daily","90*","equities","stocks","Complex strategy","1991-2014",24,"39.00%*","45.02%*",NA,"Strong","earnings announcement, equity long short, trading earnings, stock picking",0.78,NA,NA,NA,NA,NA
"331",331,"Timing Betting-Against-Beta (BAB) Anomaly","Yes","Monthly","1000*","equities","stocks","Complex strategy","1964-2015",52,"21.48%*","16.84%*","-56.75%*","Strong","beta factor, equity long short, market timing, volatility effect",1554076800,NA,NA,NA,NA,NA
"332",332,"Contrast Effect During the Earnings Announcements","Yes","Daily","33","equities","stocks","Complex strategy","1984-2013",30,"15.00%*",NA,NA,"Strong","earnings announcement, equity long short, stock picking, trading earnings",0,NA,NA,NA,NA,NA
"333",333,"Earnings Announcement Seasonality Effect in Equities","Yes","Daily","50*","equities","stocks","Complex strategy","1972-2013",42,"40.73%*",NA,NA,"Strong","earnings announcement, equity long short, seasonality, trading earnings, stock picking",0,NA,NA,NA,NA,NA
"334",334,"Volatility-Adjusted Momentum in Corporate Bonds","Yes","Monthly","1000*","bonds","bonds","Complex strategy","1994-2015",22,"3.61%*","3.12%*",NA,"Strong","momentum",1.16,NA,NA,NA,NA,NA
"335",335,"Cross-Sectional One-Month Equity ATM Straddle Trading Strategy","Yes","Monthly","1000*","equities","options","Very complex strategy","1996-2015",20,"34.58%*","12.70%*",NA,"Strong","volatility effect, volatility premium",2.72,NA,NA,NA,NA,NA
"336",336,"Cross-Sectional Six-Month Equity ATM Straddle Trading Strategy","Yes","Monthly","1000*","equities","options","Very complex strategy","1996-2015",20,"31.32%*","18.46%*",NA,"Strong","volatility effect, volatility premium",1.7,NA,NA,NA,NA,NA
"337",337,"Cross-Sectional Six- Minus One-Month Equity ATM Straddle Calendar Trading Strategy","Yes","Monthly","1000*","equities","options","Very complex strategy","1996-2015",20,"36.84%*","11.80%*",NA,"Strong","volatility effect, volatility premium",1575331200,NA,NA,NA,NA,NA
"338",338,"Timing of Option Returns","Yes","Daily","1","equities","options","Simple strategy","1996-2015",20,"8.69%*","3.11%*",NA,"Strong","volatility effect, volatility premium",2.79,NA,NA,NA,NA,NA
"339",339,"Expected Investment Growth within the Cross-section of Stocks Returns","Yes","Monthly","100","equities","stocks","Complex strategy","1974-2015",42,"6.28%*","22.44%*",NA,"Strong","equity long short, financial statements effect, stock picking",0.28,NA,NA,NA,NA,NA
"340",340,"Halloween Effect During the Pre-Election Year","Yes","6 Months","1","equities","futures, funds, ETFs, CFDs","Simple strategy","1927-2015",89,"11.50%*","24.47%*",NA,"Weak","market timing, seasonality",0.47,NA,NA,NA,NA,NA
"341",341,"Opening Range Breakout within Crude Oil","Yes","Intraday","1","commodities","futures","Simple strategy","2001-2011",11,"9.77%*",NA,NA,"Moderately strong","momentum, trendfollowing, market timing",0,NA,NA,NA,NA,NA
"342",342,"Global Cross-Asset Time Series Momentum in Bond and Equity Markets","Yes","Monthly","40","equities, bonds","ETFs, futures","Moderately complex strategy","1980-2015",36,"6.50%*","10.00%*",NA,"Strong","momentum, trendfollowing",0.65,NA,NA,NA,NA,NA
"343",343,"Impact of Macro News on PEAD Strategy","Yes","Monthly","1000*","equities","stocks","Complex strategy","1997-2014",18,"12.28%*",NA,NA,"Strong","earnings announcement, equity long short",0,NA,NA,NA,NA,NA
"344",344,"Dynamic Momentum and Contrarian Trading","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1927-2015",89,"21.74%*","26.74%*","-39.39%*","Strong*","equity long short, momentum, momentum in stocks",0.81,NA,NA,NA,NA,NA
"345",345,"Betting Against Correlation Effect","Yes","Monthly","1000*","equities","stocks","Complex strategy","1963-2015",53,"12.28%*","13.20%*",NA,"Strong","equity long short, volatility effect, beta factor",0.93,NA,NA,NA,NA,NA
"346",346,"Commodity Option Implied Volatility Strategy","Yes","Monthly","13","commodities","CFDs, futures","Moderately complex strategy","1991-2014",24,"12.66%*","18.48%*",NA,"Strong","volatility effect, rotational system",0.69,NA,NA,NA,NA,NA
"347",347,"Mispricing of Equity Options With Different Time To Maturity","Yes","Monthly","1000*","equities","options","Complex strategy*","1996-2014",19,"9.40%*",NA,NA,"Strong*","volatility effect, market timing, seasonality, volatility premium",0,NA,NA,NA,NA,NA
"348",348,"The Tax Day Trade","Yes","Daily","1","equities","futures, ETFs, CFDs","Simple strategy","1980-2015",36,"2.50%*",NA,NA,"Strong","market timing, seasonality",0,NA,NA,NA,NA,NA
"349",349,"Trading Options During Expiration Weekends","Yes","Daily","1000*","equities","options","Complex strategy*","1996-2014",19,"21.26%*",NA,NA,"Moderately strong*","volatility effect, market timing, seasonality, volatility premium",0,NA,NA,NA,NA,NA
"350",350,"Effect of Corruption on FX Markets","Yes","Yearly","17*","currencies","futures, forwards, CFDs, swaps","Simple strategy","2001-2016",16,"6.04%*","8.14%*",NA,"Moderately strong","FX anomaly, sentiment, forex system",0.74,NA,NA,NA,NA,NA
"351",351,"Returns Signal Momentum","Yes","Monthly","55*","equities, commodities, bonds, currencies","futures, CFDs","Simple strategy","1985-2015",31,"11.90%*","12.30%*","-19.50%*","Strong","momentum",0.97,NA,NA,NA,NA,NA
"352",352,"Time Series Reversal of Momentum on Futures","Yes","Monthly","55*","equities, commodities, bonds, currencies","futures, CFDs","Moderately complex strategy","1985-2015",31,"24.40%*","20.90%*","-26.20%*","Strong","trendfollowing, momentum, reversal",1.17,NA,NA,NA,NA,NA
"353",353,"US Sector Rotation with Five-Factor Fama-French Alphas","Yes","Monthly","10","equities","ETFs","Complex strategy","1967-2014",48,"11.07%*","15.83%*",NA,"Strong","sector picking, rotational system",0.7,NA,NA,NA,NA,NA
"354",354,"ETF Creation/Redemption Activity and Return Predictability","Yes","Monthly","1000*","equities, commodities, bonds","ETFs","Complex strategy","2007-2015",9,"13.35%*","14.11%*",NA,"Strong","arbitrage, equity long short, reversal",0.95,NA,NA,NA,NA,NA
"355",355,"The Crisis Alpha Portfolio","Yes","Monthly","5*","bonds","ETFs","Simple strategy","1962-2014",53,"7.29%*","5.04%*","-5.90%*","Strong","momentum, bond timing",0.65,NA,NA,NA,NA,NA
"356",356,"The Dollar Ahead of FOMC Target Rate Changes","Yes","Daily","1","currencies","futures, forwards, swaps, CFDs","Simple strategy","1994-2015",22,"7.17%*","7.28%*",NA,"Strong","FX anomaly, forex system, seasonality, market timing",0.98,NA,NA,NA,NA,NA
"357",357,"Using Intensity of Book to Market to Identify Growth Premium","Yes","Quarterly","1000*","equities","stocks","Complex strategy*","1971-2015",45,"4.49%*","9.58%*",NA,"Strong*","growth stocks, stock picking, equity long short, financial statements effect",0.47,NA,NA,NA,NA,NA
"358",358,"Monthly Reversal and/or Momentum Based on Intraday Returns","Yes","Monthly","1000*","equities","stocks","Complex strategy","1993-2014",22,"5.12%*","9.21%*",NA,"Strong","reversal, stock picking, equity long short",0.56,NA,NA,NA,NA,NA
"359",359,"Connected-Stocks Momentum Portfolio","Yes","Monthly","1000*","equities","stocks","Very complex strategy","1983-2015",33,"11.22%*","19.49%*",NA,"Strong","stock picking, momentum, momentum in stocks, equity long short",0.58,NA,NA,NA,NA,NA
"360",360,"Trend Following Trading Strategies for Currencies","Yes","Daily","10*","currencies, cryptos","futures, forwards, swaps, CFDs, cryptos","Complex strategy","1975-2017",43,"12.25%*","22.90%*",NA,"Strong","momentum, FX anomaly, forex system, trendfollowing, cryptocurrencies",0.53,NA,NA,NA,NA,NA
"361",361,"Idiosyncratic Commodity Momentum","Yes","Monthly","28*","commodities","futures, CFDs","Complex strategy","1993-2014",22,"17.50%*","29.42%*",NA,"Strong","momentum, trendfollowing",0.59,NA,NA,NA,NA,NA
"362",362,"Small Industry Premia","Yes","Monthly","936*","equities","stocks, ETFs","Very complex strategy","1973-2017",45,"14.03%*","12.09%*",NA,"Strong","sector picking, equity long short, stock picking, small cap",0.83,NA,NA,NA,NA,NA
"363",363,"Technology Momentum","Yes","Monthly","1000*","equities","stocks","Very complex strategy","1963-2012",50,"8.60%*","18.17%*",NA,"Strong","stock picking, momentum, equity long short, momentum in stocks",0.25,NA,NA,NA,NA,NA
"364",364,"Trading the Crude Oil Term Structure","Yes","Weekly","2","commodities","futures, ETFs","Complex strategy","2011-2016",6,"5.40%*","7.10%*","-6.94%*","Strong","pairs trading, arbitrage, spread trading",0.76,NA,NA,NA,NA,NA
"365",365,"Timing S&P500 Using a Large Set of Forecasting Variables","Yes","Monthly","1*","equities","ETFs, futures, CFDs,funds","Complex strategy","2003-2017",15,"16.60%*","16.60%*","-20.30%*","Strong","market timing",0.76,NA,NA,NA,NA,NA
"366",366,"Daily Box Office Earnings and Aggregate Stock Returns","Yes","Daily","1*","equities","ETFs, futures, CFDs,funds","Simple strategy","2002-2016",15,"24.93%*",NA,NA,"Weak","market timing, sentiment",0,NA,NA,NA,NA,NA
